[2018-10-23 08:07:48.000000 192.130.75.223  - [query->JOLALDE] ] Select  max('Total Ventas Generales') nombre,sum(con.subtotal) subtotal,sum(con.descuento) descuento, sum(con.subtotal) - sum(con.descuento) neto, sum(con.TotImpuesto) TotImpuesto,sum(con.monto_flete) envio , sum(general) total 
          FROM newconsol3_2 con
          where con.fechafac between '10-01-2018' and '10-23-2018' and statfact <>'2'
[2018-10-23 08:07:48.000000 192.130.75.223  - [query->JOLALDE] ] Select  concat( max(E.Nombre),' ',MAX(D.abreviatura)) nombre,sum(con.subtotal) subtotal,sum(con.descuento) descuento, sum(con.subtotal) - sum(con.descuento) neto, sum(con.TotImpuesto) TotImpuesto,sum(con.monto_flete) envio , sum(general) total,con.tipo  
            FROM newconsol3_2 con 
            inner join Divisiones E ON con.tipo =E.id
            inner join MDocumentos D ON con.doc= D.codtipodoc 
            where con.fechafac between '10-01-2018' and '10-23-2018' and statfact <>'2' group by con.tipo,con.doc order by con.tipo
[2018-10-23 08:07:48.000000 192.130.75.223  - [query->JOLALDE] ] Select  max(concat('Total US$ ',' ',E.Nombre)) nombre,sum(con.subtotal) subtotal,sum(con.descuento) descuento, sum(con.subtotal) - sum(con.descuento) neto, sum(con.TotImpuesto) TotImpuesto,sum(con.monto_flete) envio , sum(general) total,con.tipo  
          FROM newconsol3_2 con 
          inner join  Divisiones E ON con.tipo =E.id
          inner join MDocumentos D ON con.doc= D.codtipodoc 
          where con.fechafac between '10-01-2018' and '10-23-2018' and statfact <>'2' group by con.tipo order by con.tipo
[2018-10-23 08:07:49.000000 192.130.75.223  - [query->JOLALDE] ] SELECT  cod_subgrupo, monto  from View_GrupoConsultas where fechafac between  '10-01-2018' and '10-23-2018' and cod_subgrupo='CONSULTA' 
[2018-10-23 08:07:49.000000 192.130.75.223  - [query->JOLALDE] ] SELECT max('Laser Aplicados ')  tit , sum(d.cantidad) laser from MSSMFact m inner join MSSDFact d ON m.numfactu=d.numfactu where m.statfact<>'2' and m.fechafac between '10-01-2018' and '10-23-2018' and d.coditems like 'TD%' 
[2018-10-23 08:07:50.000000 192.130.75.223  - [query->JOLALDE] ] SELECT  cod_subgrupo, monto  from View_GrupoConsultas where fechafac between  '10-01-2018' and '10-23-2018' and cod_subgrupo='SUEROTERAPIA' 
[2018-10-23 08:07:50.000000 192.130.75.223  - [query->JOLALDE] ] SELECT max('Laser Intra. Vendidos ')  tit , sum(d.cantidad) laser from MSSMFact m inner join MSSDFact d ON m.numfactu=d.numfactu where m.statfact<>'2' and (m.fechafac between '10-01-2018' and '10-23-2018') and d.coditems like 'LI%' 
[2018-10-23 13:19:39.000000 192.130.74.2  - [query->log-in] ] Select * from loginpass WHERE login = 'LA' and passwork ='2906' 
[2018-10-23 13:19:39.000000 192.130.74.2  - [query->log-in] ] Select * from Vestaciones WHERE usuario = 'LA' 
[2018-10-23 13:19:46.000000 192.130.74.2  - [query->LA] ] Select codmedico,(nombre+' ' +apellido) as medico from mmedicos where activo='1'
[2018-10-23 13:19:46.000000 192.130.74.2  - [query->LA] ] Select codcons,descons from VIEW_SoloConsulta where codcons in ('01','03') 
[2018-10-23 13:19:46.000000 192.130.74.2  - [query->LA] ] Select 'Todos' as Descripcion, 1 as id  union  select 'Consultas' as Descripcion, 2 as id  union  select 'Sueroterapia' as Descripcion, 3 as id  union  select 'Laser' as Descripcion, 4 as id  order by id
[2018-10-23 13:19:47.000000 192.130.74.2  - [query->LA] ] Select  * from view_displaypagos where fechafac='2018-10-23'
[2018-10-23 13:19:47.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112243'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:47.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112727'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:47.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112280'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:47.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='100368'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:47.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112184'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:47.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='106479'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:47.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112601'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:47.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112364'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:47.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112659'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:47.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='111930'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:47.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112789'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:47.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='107349'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:47.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112229'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:47.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112755'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:47.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='108133'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:47.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112675'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:47.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112766'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='104022'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='110498'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='111573'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112604'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112851'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112701'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112807'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='79309'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112741'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112883'and codconsulta <>'07' and ASISTIDOS is null
